ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1,0,0.0194559079,0.64,-0.332914,-0.0022971,7.33105,7.58372,9.5352,12.6726,20.8299,26.8016,37.6704,64.1899,148.908,200,200,60.6861,22.7631,14.5969,10.9069,6.43398,4.8028,3.80103,3.66895
1,0,0.0193503127,0.64,-0.332928,-0.00252312,7.33105,7.58325,9.53342,12.6683,20.8158,26.7771,37.6278,64.0768,148.358,200,200,60.943,22.8055,14.611,10.9149,6.43617,4.80384,3.80127,3.66907
1,0,0.0192270838,0.64,-0.332828,-0.00277441,7.33057,7.5823,9.53082,12.663,20.8,26.75,37.5765,63.9474,147.736,200,200,61.2408,22.8561,14.628,10.924,6.43925,4.80536,3.802,3.66943
1,0,0.0190824419,0.64,-0.332642,-0.0030505,7.32971,7.58075,9.5273,12.6563,20.7804,26.7177,37.5195,63.8007,147.047,200,200,61.5791,22.9147,14.6491,10.9363,6.44391,4.8079,3.80336,3.67041
1,0,0.018934913,0.64,-0.332514,-0.00334042,7.32898,7.57932,9.52396,12.6495,20.7611,26.6849,37.461,63.6511,146.334,200,200,61.9335,22.9739,14.6715,10.9478,6.44786,4.81012,3.80437,3.67114
1,0,0.0187849104,0.64,-0.332385,-0.00363701,7.32812,7.57809,9.52072,12.643,20.7413,26.6515,37.4021,63.499,145.613,200,200,62.2944,23.0373,14.6931,10.9593,6.45192,4.81216,3.80539,3.67188
1,0,0.0186317749,0.64,-0.332285,-0.00393885,7.32751,7.57681,9.5173,12.6362,20.7213,26.6182,37.3421,63.3445,144.889,200,200,62.6677,23.1005,14.7144,10.9721,6.45591,4.81431,3.80654,3.67249
1,0,0.0184823144,0.64,-0.332213,-0.00424259,7.32715,7.57581,9.5146,12.6299,20.7014,26.5844,37.2838,63.194,144.182,200,200,63.0389,23.1624,14.7356,10.9823,6.45949,4.81593,3.80715,3.67285
1,0,0.0183284972,0.64,-0.332156,-0.00455874,7.3269,7.57495,9.51155,12.6239,20.6826,26.5512,37.2223,63.0366,143.449,200,200,63.4235,23.229,14.7566,10.9938,6.46299,4.81752,3.80756,3.67322
1,0,0.0181338191,0.64,-0.331928,-0.00491875,7.32568,7.57276,9.50702,12.6147,20.657,26.5083,37.1475,62.8512,142.607,200,200,63.8916,23.3127,14.7849,11.0099,6.4689,4.82088,3.8095,3.67444
1,0,0.017943114,0.64,-0.331699,-0.00527542,7.32446,7.57083,9.5023,12.606,20.6319,26.4679,37.0763,62.6686,141.78,200,200,64.3571,23.3942,14.8144,11.0256,6.47437,4.82408,3.81111,3.67578
