,STEERING,ACCELERATION,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
4134,4.85765950666885E-05,0.1609916501,23.5231111111,-0.0314055,-0.2141057337,5.67277,5.86701,6.53625,7.99264,11.2726,16.4175,21.6164,31.9902,60.6223,162.117,67.3024,31.343,20.8742,15.7376,10.724,7.56221,6.16474,5.52076,5.32731
4135,0.0023692502,0.1609916501,23.5231111111,-0.0311374,-0.2104720353,5.67129,5.86558,6.53479,7.99107,11.2709,16.4161,21.6159,31.9932,60.5664,161.766,67.432,31.3401,20.875,15.7392,10.7258,7.56382,6.16622,5.52219,5.32878
4136,-0.0012912299,0.1609916501,23.5231111111,-0.0308289,-0.2117222292,5.6696,5.86379,6.53275,7.9885,11.2671,16.4102,21.6077,31.9797,60.4632,161.199,67.6657,31.3541,20.8834,15.7451,10.7296,7.56639,6.16826,5.52399,5.33048
4137,-0.0026500425,0.1610829153,23.5230833333,-0.0305054,-0.2129449212,5.66782,5.86192,6.53062,7.98583,11.2631,16.4041,21.5992,31.9659,60.352,160.63,67.9129,31.3684,20.892,15.7513,10.7336,7.56908,6.1704,5.52586,5.33226
4138,0.001069817,0.1610829153,23.5230833333,-0.0302226,-0.2090992285,5.66626,5.86042,6.52908,7.98417,11.2613,16.4026,21.5986,31.969,60.2954,160.287,68.0526,31.3654,20.8928,15.753,10.7355,7.57078,6.17196,5.52737,5.33381
4139,0.0024216091,0.1610829153,23.5230833333,-0.0299544,-0.2061553713,5.66479,5.85897,6.52757,7.98249,11.2594,16.4006,21.597,31.9698,60.2266,159.899,68.225,31.3647,20.8945,15.7551,10.7375,7.57248,6.17348,5.52882,5.33529
4140,-0.0007692865,0.1610829153,23.5230833333,-0.029651,-0.2087439946,5.66312,5.85717,6.52548,7.97979,11.2552,16.3938,21.5871,31.9524,60.1048,159.275,68.5074,31.3827,20.9046,15.762,10.7417,7.57519,6.17557,5.53062,5.33695
4141,-0.0025969183,0.1610829153,23.5230833333,-0.0293275,-0.211264436,5.66134,5.85527,6.52326,7.97693,11.2508,16.3866,21.5768,31.9346,59.9768,158.65,68.8052,31.4012,20.9151,15.7692,10.7461,7.57805,6.17779,5.53253,5.33874
4142,0.0024509354,0.1610829153,23.5230833333,-0.0290593,-0.2085663777,5.65986,5.85381,6.52174,7.97522,11.2488,16.3845,21.5749,31.9346,59.9035,158.255,69.0031,31.4013,20.9171,15.7715,10.7482,7.57979,6.17933,5.53399,5.34021
4143,0.0015572013,0.1611742148,23.5230555556,-0.0287811,-0.2078765365,5.65833,5.85225,6.52002,7.97316,11.246,16.3806,21.5701,31.9281,59.8098,157.773,69.2428,31.4081,20.9222,15.7755,10.751,7.58187,6.18106,5.53556,5.34174
4144,-0.0025651671,0.1611742148,23.5230555556,-0.0284576,-0.2117497312,5.65656,5.8503,6.51772,7.97012,11.2412,16.3724,21.5579,31.9061,59.6664,157.094,69.5963,31.4309,20.9345,15.7837,10.7559,7.58491,6.18336,5.5375,5.34352
4145,-0.0011554179,0.1612655489,23.5230277778,-0.0281496,-0.2118517177,5.65486,5.84855,6.51576,7.96772,11.2378,16.3674,21.5513,31.8962,59.5609,156.571,69.8732,31.4412,20.9413,15.7888,10.7593,7.58733,6.18533,5.53926,5.34521
4146,0.0024781621,0.1612655489,23.5230277778,-0.0278814,-0.2080954064,5.65339,5.84712,6.51431,7.96616,11.2361,16.3661,21.5509,31.8995,59.493,156.221,70.0726,31.4379,20.9419,15.7902,10.7611,7.58892,6.1868,5.54069,5.34669
4147,0.0006661103,0.1613569175,23.523,-0.0275932,-0.2083005253,5.6518,5.84548,6.51247,7.9639,11.2329,16.3613,21.5446,31.8899,59.3843,155.698,70.3703,31.4479,20.9484,15.7951,10.7643,7.5912,6.18864,5.54234,5.34827
4148,-0.0025615253,0.1613569175,23.523,-0.0272696,-0.2115102349,5.65002,5.84355,6.51021,7.96095,11.2282,16.3537,21.5333,31.8699,59.2437,155.05,70.7552,31.4686,20.9598,15.8028,10.769,7.59415,6.1909,5.54427,5.35005
4149,0.0006600947,0.1614483206,23.5229722222,-0.0269814,-0.2104926618,5.64844,5.84194,6.50845,7.95885,11.2254,16.3499,21.5287,31.8642,59.1463,154.578,71.0423,31.4746,20.9646,15.8067,10.7718,7.59627,6.19267,5.54588,5.35164
4150,0.0024885346,0.1613569175,23.523,-0.0267132,-0.2084300138,5.64696,5.84047,6.50688,7.95706,11.2232,16.3472,21.5259,31.8622,59.0547,154.153,71.3177,31.4767,20.9675,15.8095,10.7741,7.59808,6.19425,5.54736,5.35311
4151,-0.0016388885,0.1614483206,23.5229722222,-0.0263997,-0.2111756275,5.64524,5.83861,6.50472,7.95425,11.2189,16.3401,21.5156,31.8428,58.9177,153.526,71.7161,31.4958,20.9781,15.8167,10.7785,7.6009,6.19642,5.54922,5.35484
4152,-0.0025717755,0.1615397582,23.5229444444,-0.0260761,-0.2127466778,5.64346,5.83673,6.50256,7.95153,11.2148,16.3337,21.5066,31.8263,58.7901,152.949,72.104,31.5127,20.9872,15.8231,10.7826,7.60364,6.19858,5.5511,5.35662
4153,0.005219399,0.1617227369,23.5228888889,-0.025838,-0.2087989986,5.64215,5.83548,6.50131,7.95023,11.2135,16.333,21.5071,31.8275,58.712,152.597,72.3602,31.5107,20.9869,15.824,10.7839,7.60497,6.19985,5.55236,5.35793
4154,-0.0007351038,0.1617227369,23.5228888889,-0.0255345,-0.2109092021,5.64048,5.8337,6.49925,7.94759,11.2095,16.3265,21.4978,31.8077,58.5781,152.002,72.7799,31.5314,20.9963,15.8305,10.788,7.60762,6.20191,5.55414,5.3596
4155,-0.0025717572,0.1618142781,23.5228611111,-0.025211,-0.2158612764,5.6387,5.83173,6.49688,7.9444,11.2043,16.3176,21.4842,31.777,58.4157,151.282,73.2969,31.5634,21.0102,15.8396,10.7932,7.61081,6.20428,5.55612,5.36138
