,STEERING,ACCELERATION,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
8863,-0.0015959067,-0.7545789708,23.9161944444,0.00840759,0.0234038935,5.45376,5.64676,6.29894,7.71593,10.9152,15.9636,21.1039,31.4799,62.8684,200,63.3403,31.8657,21.3964,16.198,11.0846,7.84037,6.40274,5.74126,5.54624
8864,-0.0015701116,-0.487768644,23.8828888889,0.00838921,0.0272833908,5.45386,5.64697,6.29931,7.7166,10.9167,15.9669,21.1096,31.4926,62.9185,200,63.2904,31.8529,21.3906,16.1946,11.0831,7.8397,6.40237,5.74106,5.54614
8865,-0.0011173158,0.0151022937,23.6033333333,0.00836606,0.0300428128,5.45399,5.64718,6.29963,7.71715,10.9179,15.9694,21.1139,31.5019,62.9548,200,63.2543,31.8435,21.3863,16.1921,11.082,7.83914,6.40205,5.74085,5.54601
8866,3.32993512939541E-05,5.3602938025,23.1971388889,0.00833121,0.032255805,5.45418,5.64743,6.29999,7.71772,10.919,15.9717,21.1177,31.51,62.985,200,63.2244,31.8355,21.3825,16.1899,11.0808,7.83857,6.40168,5.74059,5.54582
8867,0.0013634837,37.891675856,22.7623611111,0.00828292,0.0342228837,5.45444,5.64776,6.30042,7.71836,10.9202,15.9739,21.1214,31.5177,63.013,200,63.1967,31.8278,21.3787,16.1876,11.0797,7.83792,6.40125,5.74026,5.54556
8868,0.0026641495,97.9063142563,22.4244722222,0.00822154,0.0362446226,5.45478,5.64816,6.30094,7.71911,10.9215,15.9765,21.1255,31.5259,63.0424,200,63.1675,31.8195,21.3746,16.185,11.0783,7.83717,6.40073,5.73986,5.54522
8869,0.002909079,76.1582267747,22.5245277778,0.00815764,0.0383756245,5.45513,5.64858,6.30148,7.7199,10.9229,15.9792,21.1298,31.5347,63.0735,200,63.1369,31.8108,21.3703,16.1823,11.0769,7.83638,6.40019,5.73944,5.54487
8870,0.0024223329,47.4879607062,22.6914166667,0.00809852,0.0383210216,5.45546,5.64892,6.30186,7.72035,10.9236,15.9801,21.131,31.5364,63.0766,200,63.1339,31.8091,21.3691,16.1814,11.0763,7.83593,6.39982,5.7391,5.54454
8871,0.0025804939,24.7585077031,22.8824166667,0.00803774,0.0345507301,5.45579,5.64917,6.302,7.72031,10.923,15.9781,21.1271,31.5265,63.0327,200,63.1772,31.819,21.3731,16.1834,11.0768,7.83597,6.39967,5.73886,5.54421
8872,0.0012234683,10.3927803626,23.0803333333,0.0079904,0.0276385673,5.45605,5.64925,6.30186,7.71975,10.9212,15.9736,21.1186,31.5064,62.9483,200,63.2608,31.8392,21.3817,16.188,11.0786,7.83655,6.39982,5.73878,5.54395
8873,0.0006001758,3.3386438322,23.2661944444,0.00794914,0.0195516691,5.45628,5.64927,6.30161,7.71898,10.919,15.9681,21.1083,31.4824,62.8489,200,63.3599,31.8634,21.3921,16.1936,11.0809,7.83733,6.40007,5.73876,5.54372
8874,0.000002705,0.5888023925,23.4436111111,0.00791368,0.0113553932,5.45647,5.64926,6.30131,7.71815,10.9167,15.9624,21.0978,31.458,62.7482,200,63.4611,31.8881,21.4027,16.1994,11.0833,7.83818,6.40038,5.73878,5.54353
