,speedX,speedY,speedZ,trackPos,angle,rpm,gear,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,setAcceleration,setGear,setSteer
3187,60.0962,0.00382805,-0.000339003,0.000112724,0.000322044,4390.32,2,4.99944,5.17624,5.77393,7.07255,10.0045,14.6303,19.3396,28.8433,58.6975,101.652,56.6359,28.7446,19.2975,14.6077,9.99555,7.06959,5.77308,5.17652,5.00056,0.2,2,0.000338276899101
3188,60.1501,0.00318947,6.96616e-05,0.00015564,0.000308454,4377.38,2,4.99922,5.176,5.77363,7.07215,10.0038,14.6291,19.3378,28.8398,58.8668,101.293,56.5778,28.748,19.2993,14.6089,9.99622,7.06999,5.77337,5.17676,5.00078,0.1,2,0.000293652390253
3189,60.1411,0.00265388,0.000399519,0.000167084,0.000295699,4359.58,2,4.99916,5.17593,5.77352,7.07198,10.0035,14.6285,19.3366,28.8374,59.0619,100.933,56.5139,28.7505,19.3004,14.6096,9.99655,7.07016,5.77348,5.17684,5.00084,2.77555756156e-17,2,0.000270126738291
3190,60.0698,0.0033371,0.000423539,0.000172615,0.000308156,4337.03,2,4.99914,5.17591,5.77353,7.07203,10.0036,14.6289,19.3374,28.8393,59.3103,100.56,56.4339,28.7486,19.2997,14.6092,9.99639,7.07011,5.77347,5.17685,5.00086,0.0,2,0.000282466341906
3191,59.9919,0.00522881,-1.16359e-06,0.000136185,0.000349998,4330.84,2,4.99932,5.17616,5.77388,7.07258,10.0047,14.6311,19.3412,28.8472,59.6302,100.172,56.3343,28.7407,19.2959,14.607,9.9953,7.06956,5.77312,5.1766,5.00068,0.1,2,0.000358933305152
3192,59.9694,0.00596008,-0.000521152,0.000158787,0.000374734,4346.33,2,4.99921,5.17608,5.77384,7.0726,10.0049,14.6318,19.3425,28.8506,59.9641,99.7941,56.2436,28.7374,19.2946,14.6063,9.9951,7.06954,5.77317,5.17668,5.00079,0.2,2,0.000376039281995
3193,60.0095,0.00502625,-0.000863139,0.000177288,0.000370324,4366.65,2,4.99911,5.17598,5.77371,7.07243,10.0046,14.6313,19.3418,28.8493,60.3035,99.431,56.1644,28.7386,19.2953,14.6068,9.99536,7.0697,5.77329,5.17679,5.00089,0.1,2,0.000358646189575
3194,60.0006,0.00402374,-0.000932837,0.000140858,0.000357926,4349.39,2,4.9993,5.17615,5.77388,7.0726,10.0048,14.6314,19.3416,28.8484,60.6891,99.0701,56.0838,28.7396,19.2955,14.6067,9.99521,7.06953,5.77312,5.17661,5.0007,0.0,2,0.000366052625548
3195,59.9297,0.00445976,-0.00114671,0.000167179,0.000367463,4326.84,2,4.99916,5.17603,5.77376,7.07248,10.0047,14.6314,19.3418,28.8492,61.1638,98.7002,55.9926,28.7388,19.2953,14.6067,9.99531,7.06965,5.77324,5.17674,5.00084,0.1,2,0.000361439041098
3196,59.9075,0.00498848,-0.00142526,9.06944e-05,0.000380993,4341.84,2,4.99955,5.17644,5.77425,7.07312,10.0057,14.633,19.3443,28.8536,61.7486,98.3263,55.8926,28.7344,19.2928,14.6051,9.99431,7.06902,5.77276,5.17632,5.00045,0.2,2,0.000427357594493
3197,59.9476,0.00452843,-0.00148943,6.09398e-05,0.000372291,4362.09,2,4.9997,5.17658,5.77439,7.07327,10.0058,14.6331,19.3442,28.853,62.4072,97.9644,55.8027,28.7349,19.2929,14.605,9.99416,7.06887,5.77261,5.17618,5.00031,0.3,2,0.00043522023229
3198,60.051,0.00395508,-0.00121463,4.80652e-05,0.000356257,4386.92,2,4.99976,5.17663,5.77441,7.07325,10.0057,14.6326,19.3433,28.8508,63.2215,97.6058,55.7143,28.7372,19.2938,14.6054,9.99431,7.06889,5.77259,5.17614,5.00024,0.2,2,0.000423001331809
3199,60.1048,0.00349846,-0.000655559,6.86645e-06,0.000338554,4374.07,2,4.99997,5.17682,5.77459,7.07341,10.0058,14.6325,19.3428,28.849,64.3468,97.247,55.6227,28.7389,19.2943,14.6055,9.99421,7.06872,5.77241,5.17595,5.00003,0.1,2,0.000426689111762
3200,60.0959,0.00326157,-9.6351e-05,4.03404e-05,0.000320852,4356.34,2,4.9998,5.17662,5.77434,7.07305,10.0052,14.6313,19.3409,28.8452,66.3515,96.8895,55.5318,28.7427,19.2962,14.6067,9.99485,7.06909,5.77267,5.17615,5.0002,2.77555756156e-17,2,0.00038284003779
3201,60.0247,0.00398254,5.47172e-05,-1.95503e-05,0.000327647,4333.86,2,5.0001,5.17694,5.77471,7.07352,10.0059,14.6325,19.3425,28.848,138.584,96.5184,55.4234,28.7399,19.2945,14.6056,9.99413,7.06861,5.7723,5.17583,4.9999,0.0,2,0.000429619314029
